7;     XOX   OX    O       
8;X    XOX   OX    O       
9;XO   XOX   OX    O       
10;XOX  XOX   OX    O       
2;            X            
3;       O    X            
4;       O   XX            
5;       O   XXO           
2;            X            
3;       O    X            
4;       O   XX            
5;       O   XXO           
6;       O  XXXO           
7; O     O  XXXO           
8; O     O  XXXO  X        
9; O     O  XXXO  X  O     
10; O    XO  XXXO  X  O     
11; O    XO  XXXO  X OO     
12; O    XOX XXXO  X OO     
13; O    XOX XXXO  XOOO     
14; OX   XOX XXXO  XOOO     
15; OX   XOX XXXO  XOOO O   
16; OX X XOX XXXO  XOOO O   
17; OX X XOX XXXOO XOOO O   
18; OX X XOX XXXOO XOOO OX  
19; OX X XOXOXXXOO XOOO OX  
20;XOX X XOXOXXXOO XOOO OX  
21;XOX XOXOXOXXXOO XOOO OX  
22;XOX XOXOXOXXXOO XOOOXOX  
23;XOX XOXOXOXXXOO XOOOXOXO 
24;XOXXXOXOXOXXXOO XOOOXOXO 
25;XOXXXOXOXOXXXOOOXOOOXOXO 
26;XOXXXOXOXOXXXOOOXOOOXOXOX
2;            X            
3;       O    X            
4;       O   XX            
5;       O   XXO           
6;       O  XXXO           
7; O     O  XXXO           
8; O     O  XXXO  X        
9; O     O  XXXO  X  O     
10; O    XO  XXXO  X  O     
11; O    XO  XXXO  X OO     
12; O    XOX XXXO  X OO     
13; O    XOX XXXO  XOOO     
14; OX   XOX XXXO  XOOO     
15; OX   XOX XXXO  XOOO O   
16; OX X XOX XXXO  XOOO O   
17; OX X XOX XXXOO XOOO O   
18; OX X XOX XXXOO XOOO OX  
19; OX X XOXOXXXOO XOOO OX  
20;XOX X XOXOXXXOO XOOO OX  
21;XOX XOXOXOXXXOO XOOO OX  
22;XOX XOXOXOXXXOO XOOOXOX  
23;XOX XOXOXOXXXOO XOOOXOXO 
24;XOXXXOXOXOXXXOO XOOOXOXO 
25;XOXXXOXOXOXXXOOOXOOOXOXO 
26;XOXXXOXOXOXXXOOOXOOOXOXOX
2;            X            
3;       O    X            
4;       O   XX            
5;       O   XXO           
6;       O  XXXO           
7; O     O  XXXO           
8; O     O  XXXO  X        
9; O     O  XXXO  X  O     
10; O    XO  XXXO  X  O     
11; O    XO  XXXO  X OO     
12; O    XOX XXXO  X OO     
13; O    XOX XXXO  XOOO     
14; OX   XOX XXXO  XOOO     
15; OX   XOX XXXO  XOOO O   
16; OX X XOX XXXO  XOOO O   
17; OX X XOX XXXOO XOOO O   
18; OX X XOX XXXOO XOOO OX  
19; OX X XOXOXXXOO XOOO OX  
20;XOX X XOXOXXXOO XOOO OX  
21;XOX XOXOXOXXXOO XOOO OX  
22;XOX XOXOXOXXXOO XOOOXOX  
23;XOX XOXOXOXXXOO XOOOXOXO 
24;XOXXXOXOXOXXXOO XOOOXOXO 
25;XOXXXOXOXOXXXOOOXOOOXOXO 
26;XOXXXOXOXOXXXOOOXOOOXOXOX
2;            X            
3;       O    X            
4;       O   XX            
5;       O   XXO           
6;       O  XXXO           
7; O     O  XXXO           
8; O     O  XXXO  X        
9; O     O  XXXO  X  O     
10; O    XO  XXXO  X  O     
11; O    XO  XXXO  X OO     
12; O    XOX XXXO  X OO     
13; O    XOX XXXO  XOOO     
14; OX   XOX XXXO  XOOO     
15; OX   XOX XXXO  XOOO O   
16; OX X XOX XXXO  XOOO O   
17; OX X XOX XXXOO XOOO O   
18; OX X XOX XXXOO XOOO OX  
19; OX X XOXOXXXOO XOOO OX  
20;XOX X XOXOXXXOO XOOO OX  
21;XOX XOXOXOXXXOO XOOO OX  
22;XOX XOXOXOXXXOO XOOOXOX  
23;XOX XOXOXOXXXOO XOOOXOXO 
24;XOXXXOXOXOXXXOO XOOOXOXO 
25;XOXXXOXOXOXXXOOOXOOOXOXO 
26;XOXXXOXOXOXXXOOOXOOOXOXOX
2;            X            
3;       O    X            
4;       O   XX            
5;       O   XXO           
6;       O  XXXO           
7; O     O  XXXO           
8; O     O  XXXO  X        
9; O     O  XXXO  X  O     
10; O    XO  XXXO  X  O     
11; O    XO  XXXO  X OO     
12; O    XOX XXXO  X OO     
13; O    XOX XXXO  XOOO     
14; OX   XOX XXXO  XOOO     
15; OX   XOX XXXO  XOOO O   
16; OX X XOX XXXO  XOOO O   
17; OX X XOX XXXOO XOOO O   
18; OX X XOX XXXOO XOOO OX  
19; OX X XOXOXXXOO XOOO OX  
20;XOX X XOXOXXXOO XOOO OX  
21;XOX XOXOXOXXXOO XOOO OX  
22;XOX XOXOXOXXXOO XOOOXOX  
23;XOX XOXOXOXXXOO XOOOXOXO 
24;XOXXXOXOXOXXXOO XOOOXOXO 
25;XOXXXOXOXOXXXOOOXOOOXOXO 
26;XOXXXOXOXOXXXOOOXOOOXOXOX
2;            X            
3;       O    X            
4;       O   XX            
5;       O   XXO           
6;       O  XXXO           
7; O     O  XXXO           
8; O     O  XXXO  X        
9; O     O  XXXO  X  O     
10; O    XO  XXXO  X  O     
11; O    XO  XXXO  X OO     
12; O    XOX XXXO  X OO     
13; O    XOX XXXO  XOOO     
14; OX   XOX XXXO  XOOO     
15; OX   XOX XXXO  XOOO O   
16; OX X XOX XXXO  XOOO O   
17; OX X XOX XXXOO XOOO O   
18; OX X XOX XXXOO XOOO OX  
19; OX X XOXOXXXOO XOOO OX  
20;XOX X XOXOXXXOO XOOO OX  
21;XOX XOXOXOXXXOO XOOO OX  
22;XOX XOXOXOXXXOO XOOOXOX  
23;XOX XOXOXOXXXOO XOOOXOXO 
24;XOXXXOXOXOXXXOO XOOOXOXO 
25;XOXXXOXOXOXXXOOOXOOOXOXO 
26;XOXXXOXOXOXXXOOOXOOOXOXOX
2;            X            
3;       O    X            
4;       O   XX            
5;       O   XXO           
6;       O  XXXO           
7; O     O  XXXO           
8; O     O  XXXO  X        
9; O     O  XXXO  X  O     
10; O    XO  XXXO  X  O     
11; O    XO  XXXO  X OO     
12; O    XOX XXXO  X OO     
13; O    XOX XXXO  XOOO     
14; OX   XOX XXXO  XOOO     
15; OX   XOX XXXO  XOOO O   
16; OX X XOX XXXO  XOOO O   
17; OX X XOX XXXOO XOOO O   
18; OX X XOX XXXOO XOOO OX  
19; OX X XOXOXXXOO XOOO OX  
20;XOX X XOXOXXXOO XOOO OX  
21;XOX XOXOXOXXXOO XOOO OX  
22;XOX XOXOXOXXXOO XOOOXOX  
23;XOX XOXOXOXXXOO XOOOXOXO 
24;XOXXXOXOXOXXXOO XOOOXOXO 
25;XOXXXOXOXOXXXOOOXOOOXOXO 
26;XOXXXOXOXOXXXOOOXOOOXOXOX
2;            X            
3;       O    X            
4;       O   XX            
5;       O   XXO           
6;       O  XXXO           
7; O     O  XXXO           
8; O     O  XXXO  X        
9; O     O  XXXO  X  O     
10; O    XO  XXXO  X  O     
11; O    XO  XXXO  X OO     
12; O    XOX XXXO  X OO     
13; O    XOX XXXO  XOOO     
14; OX   XOX XXXO  XOOO     
15; OX   XOX XXXO  XOOO O   
16; OX X XOX XXXO  XOOO O   
17; OX X XOX XXXOO XOOO O   
18; OX X XOX XXXOO XOOO OX  
19; OX X XOXOXXXOO XOOO OX  
20;XOX X XOXOXXXOO XOOO OX  
21;XOX XOXOXOXXXOO XOOO OX  
22;XOX XOXOXOXXXOO XOOOXOX  
23;XOX XOXOXOXXXOO XOOOXOXO 
24;XOXXXOXOXOXXXOO XOOOXOXO 
25;XOXXXOXOXOXXXOOOXOOOXOXO 
26;XOXXXOXOXOXXXOOOXOOOXOXOX
2;            X            
3;       O    X            
4;       O   XX            
5;       O   XXO           
6;       O  XXXO           
7; O     O  XXXO           
8; O     O  XXXO  X        
9; O     O  XXXO  X  O     
10; O    XO  XXXO  X  O     
11; O    XO  XXXO  X OO     
12; O    XOX XXXO  X OO     
13; O    XOX XXXO  XOOO     
14; OX   XOX XXXO  XOOO     
15; OX   XOX XXXO  XOOO O   
16; OX X XOX XXXO  XOOO O   
17; OX X XOX XXXOO XOOO O   
18; OX X XOX XXXOO XOOO OX  
19; OX X XOXOXXXOO XOOO OX  
20;XOX X XOXOXXXOO XOOO OX  
21;XOX XOXOXOXXXOO XOOO OX  
22;XOX XOXOXOXXXOO XOOOXOX  
23;XOX XOXOXOXXXOO XOOOXOXO 
24;XOXXXOXOXOXXXOO XOOOXOXO 
25;XOXXXOXOXOXXXOOOXOOOXOXO 
26;XOXXXOXOXOXXXOOOXOOOXOXOX
2;            X            
3;       O    X            
4;       O   XX            
5;       O   XXO           
6;       O  XXXO           
7; O     O  XXXO           
8; O     O  XXXO  X        
9; O     O  XXXO  X  O     
10; O    XO  XXXO  X  O     
11; O    XO  XXXO  X OO     
12; O    XOX XXXO  X OO     
13; O    XOX XXXO  XOOO     
14; OX   XOX XXXO  XOOO     
15; OX   XOX XXXO  XOOO O   
16; OX X XOX XXXO  XOOO O   
17; OX X XOX XXXOO XOOO O   
18; OX X XOX XXXOO XOOO OX  
19; OX X XOXOXXXOO XOOO OX  
20;XOX X XOXOXXXOO XOOO OX  
21;XOX XOXOXOXXXOO XOOO OX  
22;XOX XOXOXOXXXOO XOOOXOX  
23;XOX XOXOXOXXXOO XOOOXOXO 
24;XOXXXOXOXOXXXOO XOOOXOXO 
25;XOXXXOXOXOXXXOOOXOOOXOXO 
26;XOXXXOXOXOXXXOOOXOOOXOXOX
2;            X            
3;       O    X            
4;       O   XX            
5;       O   XXO           
6;       O  XXXO           
7; O     O  XXXO           
8; O     O  XXXO  X        
9; O     O  XXXO  X  O     
10; O    XO  XXXO  X  O     
11; O    XO  XXXO  X OO     
12; O    XOX XXXO  X OO     
13; O    XOX XXXO  XOOO     
14; OX   XOX XXXO  XOOO     
15; OX   XOX XXXO  XOOO O   
16; OX X XOX XXXO  XOOO O   
17; OX X XOX XXXOO XOOO O   
18; OX X XOX XXXOO XOOO OX  
19; OX X XOXOXXXOO XOOO OX  
20;XOX X XOXOXXXOO XOOO OX  
21;XOX XOXOXOXXXOO XOOO OX  
22;XOX XOXOXOXXXOO XOOOXOX  
23;XOX XOXOXOXXXOO XOOOXOXO 
24;XOXXXOXOXOXXXOO XOOOXOXO 
25;XOXXXOXOXOXXXOOOXOOOXOXO 
26;XOXXXOXOXOXXXOOOXOOOXOXOX
2;            X            
3;       O    X            
4;       O   XX            
5;       O   XXO           
6;       O  XXXO           
7; O     O  XXXO           
8; O     O  XXXO  X        
9; O     O  XXXO  X  O     
10; O    XO  XXXO  X  O     
11; O    XO  XXXO  X OO     
12; O    XOX XXXO  X OO     
13; O    XOX XXXO  XOOO     
14; OX   XOX XXXO  XOOO     
15; OX   XOX XXXO  XOOO O   
16; OX X XOX XXXO  XOOO O   
17; OX X XOX XXXOO XOOO O   
18; OX X XOX XXXOO XOOO OX  
19; OX X XOXOXXXOO XOOO OX  
20;XOX X XOXOXXXOO XOOO OX  
21;XOX XOXOXOXXXOO XOOO OX  
22;XOX XOXOXOXXXOO XOOOXOX  
23;XOX XOXOXOXXXOO XOOOXOXO 
24;XOXXXOXOXOXXXOO XOOOXOXO 
25;XOXXXOXOXOXXXOOOXOOOXOXO 
26;XOXXXOXOXOXXXOOOXOOOXOXOX
2;            X            
3;       O    X            
4;       O   XX            
5;       O   XXO           
6;       O  XXXO           
7; O     O  XXXO           
8; O     O  XXXO  X        
9; O     O  XXXO  X  O     
10; O    XO  XXXO  X  O     
11; O    XO  XXXO  X OO     
12; O    XOX XXXO  X OO     
13; O    XOX XXXO  XOOO     
14; OX   XOX XXXO  XOOO     
15; OX   XOX XXXO  XOOO O   
16; OX X XOX XXXO  XOOO O   
17; OX X XOX XXXOO XOOO O   
18; OX X XOX XXXOO XOOO OX  
19; OX X XOXOXXXOO XOOO OX  
20;XOX X XOXOXXXOO XOOO OX  
21;XOX XOXOXOXXXOO XOOO OX  
22;XOX XOXOXOXXXOO XOOOXOX  
23;XOX XOXOXOXXXOO XOOOXOXO 
24;XOXXXOXOXOXXXOO XOOOXOXO 
25;XOXXXOXOXOXXXOOOXOOOXOXO 
26;XOXXXOXOXOXXXOOOXOOOXOXOX
2;            X            
3;       O    X            
4;       O   XX            
5;       O   XXO           
6;       O  XXXO           
7; O     O  XXXO           
8; O     O  XXXO  X        
9; O     O  XXXO  X  O     
10; O    XO  XXXO  X  O     
11; O    XO  XXXO  X OO     
12; O    XOX XXXO  X OO     
13; O    XOX XXXO  XOOO     
14; OX   XOX XXXO  XOOO     
15; OX   XOX XXXO  XOOO O   
16; OX X XOX XXXO  XOOO O   
17; OX X XOX XXXOO XOOO O   
18; OX X XOX XXXOO XOOO OX  
19; OX X XOXOXXXOO XOOO OX  
20;XOX X XOXOXXXOO XOOO OX  
21;XOX XOXOXOXXXOO XOOO OX  
22;XOX XOXOXOXXXOO XOOOXOX  
23;XOX XOXOXOXXXOO XOOOXOXO 
24;XOXXXOXOXOXXXOO XOOOXOXO 
25;XOXXXOXOXOXXXOOOXOOOXOXO 
26;XOXXXOXOXOXXXOOOXOOOXOXOX
2;            X            
3;       O    X            
4;       O   XX            
5;       O   XXO           
6;       O  XXXO           
7; O     O  XXXO           
8; O     O  XXXO  X        
9; O     O  XXXO  X  O     
10; O    XO  XXXO  X  O     
11; O    XO  XXXO  X OO     
12; O    XOX XXXO  X OO     
13; O    XOX XXXO  XOOO     
14; OX   XOX XXXO  XOOO     
15; OX   XOX XXXO  XOOO O   
16; OX X XOX XXXO  XOOO O   
17; OX X XOX XXXOO XOOO O   
18; OX X XOX XXXOO XOOO OX  
19; OX X XOXOXXXOO XOOO OX  
20;XOX X XOXOXXXOO XOOO OX  
21;XOX XOXOXOXXXOO XOOO OX  
22;XOX XOXOXOXXXOO XOOOXOX  
23;XOX XOXOXOXXXOO XOOOXOXO 
24;XOXXXOXOXOXXXOO XOOOXOXO 
25;XOXXXOXOXOXXXOOOXOOOXOXO 
26;XOXXXOXOXOXXXOOOXOOOXOXOX
2;            X            
3;       O    X            
4;       O   XX            
5;       O   XXO           
6;       O  XXXO           
7; O     O  XXXO           
8; O     O  XXXO  X        
9; O     O  XXXO  X  O     
10; O    XO  XXXO  X  O     
11; O    XO  XXXO  X OO     
12; O    XOX XXXO  X OO     
13; O    XOX XXXO  XOOO     
14; OX   XOX XXXO  XOOO     
15; OX   XOX XXXO  XOOO O   
16; OX X XOX XXXO  XOOO O   
17; OX X XOX XXXOO XOOO O   
18; OX X XOX XXXOO XOOO OX  
19; OX X XOXOXXXOO XOOO OX  
20;XOX X XOXOXXXOO XOOO OX  
21;XOX XOXOXOXXXOO XOOO OX  
22;XOX XOXOXOXXXOO XOOOXOX  
23;XOX XOXOXOXXXOO XOOOXOXO 
24;XOXXXOXOXOXXXOO XOOOXOXO 
25;XOXXXOXOXOXXXOOOXOOOXOXO 
26;XOXXXOXOXOXXXOOOXOOOXOXOX
2;            X            
3;       O    X            
4;       O   XX            
5;       O   XXO           
6;       O  XXXO           
7; O     O  XXXO           
8; O     O  XXXO  X        
9; O     O  XXXO  X  O     
10; O    XO  XXXO  X  O     
11; O    XO  XXXO  X OO     
12; O    XOX XXXO  X OO     
13; O    XOX XXXO  XOOO     
14; OX   XOX XXXO  XOOO     
15; OX   XOX XXXO  XOOO O   
16; OX X XOX XXXO  XOOO O   
17; OX X XOX XXXOO XOOO O   
18; OX X XOX XXXOO XOOO OX  
19; OX X XOXOXXXOO XOOO OX  
20;XOX X XOXOXXXOO XOOO OX  
21;XOX XOXOXOXXXOO XOOO OX  
22;XOX XOXOXOXXXOO XOOOXOX  
23;XOX XOXOXOXXXOO XOOOXOXO 
24;XOXXXOXOXOXXXOO XOOOXOXO 
25;XOXXXOXOXOXXXOOOXOOOXOXO 
26;XOXXXOXOXOXXXOOOXOOOXOXOX
2;            X            
3;       O    X            
4;       O   XX            
5;       O   XXO           
6;       O  XXXO           
7; O     O  XXXO           
8; O     O  XXXO  X        
9; O     O  XXXO  X  O     
10; O    XO  XXXO  X  O     
11; O    XO  XXXO  X OO     
12; O    XOX XXXO  X OO     
13; O    XOX XXXO  XOOO     
14; OX   XOX XXXO  XOOO     
15; OX   XOX XXXO  XOOO O   
16; OX X XOX XXXO  XOOO O   
17; OX X XOX XXXOO XOOO O   
18; OX X XOX XXXOO XOOO OX  
19; OX X XOXOXXXOO XOOO OX  
20;XOX X XOXOXXXOO XOOO OX  
21;XOX XOXOXOXXXOO XOOO OX  
22;XOX XOXOXOXXXOO XOOOXOX  
23;XOX XOXOXOXXXOO XOOOXOXO 
24;XOXXXOXOXOXXXOO XOOOXOXO 
25;XOXXXOXOXOXXXOOOXOOOXOXO 
26;XOXXXOXOXOXXXOOOXOOOXOXOX
2;            X            
3;       O    X            
4;       O   XX            
5;       O   XXO           
6;       O  XXXO           
7; O     O  XXXO           
8; O     O  XXXO  X        
9; O     O  XXXO  X  O     
10; O    XO  XXXO  X  O     
11; O    XO  XXXO  X OO     
12; O    XOX XXXO  X OO     
13; O    XOX XXXO  XOOO     
14; OX   XOX XXXO  XOOO     
15; OX   XOX XXXO  XOOO O   
16; OX X XOX XXXO  XOOO O   
17; OX X XOX XXXOO XOOO O   
18; OX X XOX XXXOO XOOO OX  
19; OX X XOXOXXXOO XOOO OX  
20;XOX X XOXOXXXOO XOOO OX  
21;XOX XOXOXOXXXOO XOOO OX  
22;XOX XOXOXOXXXOO XOOOXOX  
23;XOX XOXOXOXXXOO XOOOXOXO 
24;XOXXXOXOXOXXXOO XOOOXOXO 
25;XOXXXOXOXOXXXOOOXOOOXOXO 
26;XOXXXOXOXOXXXOOOXOOOXOXOX
2;            X            
3;       O    X            
4;       O   XX            
5;       O   XXO           
6;       O  XXXO           
7; O     O  XXXO           
8; O     O  XXXO  X        
9; O     O  XXXO  X  O     
10; O    XO  XXXO  X  O     
11; O    XO  XXXO  X OO     
12; O    XOX XXXO  X OO     
13; O    XOX XXXO  XOOO     
14; OX   XOX XXXO  XOOO     
15; OX   XOX XXXO  XOOO O   
16; OX X XOX XXXO  XOOO O   
17; OX X XOX XXXOO XOOO O   
18; OX X XOX XXXOO XOOO OX  
19; OX X XOXOXXXOO XOOO OX  
20;XOX X XOXOXXXOO XOOO OX  
21;XOX XOXOXOXXXOO XOOO OX  
22;XOX XOXOXOXXXOO XOOOXOX  
23;XOX XOXOXOXXXOO XOOOXOXO 
24;XOXXXOXOXOXXXOO XOOOXOXO 
25;XOXXXOXOXOXXXOOOXOOOXOXO 
26;XOXXXOXOXOXXXOOOXOOOXOXOX
2;            X            
3;       O    X            
4;       O   XX            
5;       O   XXO           
6;       O  XXXO           
7; O     O  XXXO           
8; O     O  XXXO  X        
9; O     O  XXXO  X  O     
10; O    XO  XXXO  X  O     
11; O    XO  XXXO  X OO     
12; O    XOX XXXO  X OO     
13; O    XOX XXXO  XOOO     
14; OX   XOX XXXO  XOOO     
15; OX   XOX XXXO  XOOO O   
16; OX X XOX XXXO  XOOO O   
17; OX X XOX XXXOO XOOO O   
18; OX X XOX XXXOO XOOO OX  
19; OX X XOXOXXXOO XOOO OX  
20;XOX X XOXOXXXOO XOOO OX  
21;XOX XOXOXOXXXOO XOOO OX  
22;XOX XOXOXOXXXOO XOOOXOX  
23;XOX XOXOXOXXXOO XOOOXOXO 
24;XOXXXOXOXOXXXOO XOOOXOXO 
25;XOXXXOXOXOXXXOOOXOOOXOXO 
26;XOXXXOXOXOXXXOOOXOOOXOXOX
2;            X            
3;       O    X            
4;       O   XX            
5;       O   XXO           
6;       O  XXXO           
7; O     O  XXXO           
8; O     O  XXXO  X        
9; O     O  XXXO  X  O     
10; O    XO  XXXO  X  O     
11; O    XO  XXXO  X OO     
12; O    XOX XXXO  X OO     
13; O    XOX XXXO  XOOO     
14; OX   XOX XXXO  XOOO     
15; OX   XOX XXXO  XOOO O   
16; OX X XOX XXXO  XOOO O   
17; OX X XOX XXXOO XOOO O   
18; OX X XOX XXXOO XOOO OX  
19; OX X XOXOXXXOO XOOO OX  
20;XOX X XOXOXXXOO XOOO OX  
21;XOX XOXOXOXXXOO XOOO OX  
22;XOX XOXOXOXXXOO XOOOXOX  
23;XOX XOXOXOXXXOO XOOOXOXO 
24;XOXXXOXOXOXXXOO XOOOXOXO 
25;XOXXXOXOXOXXXOOOXOOOXOXO 
26;XOXXXOXOXOXXXOOOXOOOXOXOX
2;            X            
3;       O    X            
4;       O   XX            
5;       O   XXO           
6;       O  XXXO           
7; O     O  XXXO           
8; O     O  XXXO  X        
9; O     O  XXXO  X  O     
10; O    XO  XXXO  X  O     
11; O    XO  XXXO  X OO     
12; O    XOX XXXO  X OO     
13; O    XOX XXXO  XOOO     
14; OX   XOX XXXO  XOOO     
15; OX   XOX XXXO  XOOO O   
16; OX X XOX XXXO  XOOO O   
17; OX X XOX XXXOO XOOO O   
18; OX X XOX XXXOO XOOO OX  
19; OX X XOXOXXXOO XOOO OX  
20;XOX X XOXOXXXOO XOOO OX  
21;XOX XOXOXOXXXOO XOOO OX  
22;XOX XOXOXOXXXOO XOOOXOX  
23;XOX XOXOXOXXXOO XOOOXOXO 
24;XOXXXOXOXOXXXOO XOOOXOXO 
25;XOXXXOXOXOXXXOOOXOOOXOXO 
26;XOXXXOXOXOXXXOOOXOOOXOXOX
2;            X            
3;       O    X            
4;       O   XX            
5;       O   XXO           
6;       O  XXXO           
7; O     O  XXXO           
8; O     O  XXXO  X        
9; O     O  XXXO  X  O     
10; O    XO  XXXO  X  O     
11; O    XO  XXXO  X OO     
12; O    XOX XXXO  X OO     
13; O    XOX XXXO  XOOO     
14; OX   XOX XXXO  XOOO     
15; OX   XOX XXXO  XOOO O   
16; OX X XOX XXXO  XOOO O   
17; OX X XOX XXXOO XOOO O   
18; OX X XOX XXXOO XOOO OX  
19; OX X XOXOXXXOO XOOO OX  
20;XOX X XOXOXXXOO XOOO OX  
21;XOX XOXOXOXXXOO XOOO OX  
22;XOX XOXOXOXXXOO XOOOXOX  
23;XOX XOXOXOXXXOO XOOOXOXO 
24;XOXXXOXOXOXXXOO XOOOXOXO 
25;XOXXXOXOXOXXXOOOXOOOXOXO 
26;XOXXXOXOXOXXXOOOXOOOXOXOX
2;            X            
3;       O    X            
4;       O   XX            
